instance,route_id,node_id,x,y,route_cost
Golden_13-C26-N253,1,0,0.0,0.0,283.54
Golden_13-C26-N253,1,1,3.0,1.0,283.54
Golden_13-C26-N253,1,2,3.0,3.0,283.54
Golden_13-C26-N253,1,3,1.0,3.0,283.54
Golden_13-C26-N253,1,12,3.0,-1.0,283.54
Golden_13-C26-N253,1,13,5.0,1.0,283.54
Golden_13-C26-N253,1,14,5.0,3.0,283.54
Golden_13-C26-N253,1,31,5.0,-3.0,283.54
Golden_13-C26-N253,1,32,5.0,-1.0,283.54
Golden_13-C26-N253,1,33,7.0,1.0,283.54
Golden_13-C26-N253,1,34,7.0,3.0,283.54
Golden_13-C26-N253,1,60,7.0,-1.0,283.54
Golden_13-C26-N253,1,61,9.0,1.0,283.54
Golden_13-C26-N253,1,62,9.0,3.0,283.54
Golden_13-C26-N253,1,96,9.0,-1.0,283.54
Golden_13-C26-N253,1,97,11.0,1.0,283.54
Golden_13-C26-N253,1,98,11.0,3.0,283.54
Golden_13-C26-N253,1,140,11.0,-1.0,283.54
Golden_13-C26-N253,1,141,13.0,1.0,283.54
Golden_13-C26-N253,1,142,13.0,3.0,283.54
Golden_13-C26-N253,1,191,13.0,-3.0,283.54
Golden_13-C26-N253,1,192,13.0,-1.0,283.54
Golden_13-C26-N253,1,193,15.0,1.0,283.54
Golden_13-C26-N253,1,194,15.0,3.0,283.54
Golden_13-C26-N253,1,251,15.0,-3.0,283.54
Golden_13-C26-N253,1,252,15.0,-1.0,283.54
Golden_13-C26-N253,1,143,13.0,5.0,283.54
Golden_13-C26-N253,1,144,13.0,7.0,283.54
Golden_13-C26-N253,1,145,13.0,9.0,283.54
Golden_13-C26-N253,1,195,15.0,5.0,283.54
Golden_13-C26-N253,1,196,15.0,7.0,283.54
Golden_13-C26-N253,1,197,15.0,9.0,283.54
Golden_13-C26-N253,1,146,13.0,11.0,283.54
Golden_13-C26-N253,1,147,13.0,13.0,283.54
Golden_13-C26-N253,1,198,15.0,11.0,283.54
Golden_13-C26-N253,1,199,15.0,13.0,283.54
Golden_13-C26-N253,1,200,15.0,15.0,283.54
Golden_13-C26-N253,1,201,13.0,15.0,283.54
Golden_13-C26-N253,1,102,11.0,11.0,283.54
Golden_13-C26-N253,1,103,9.0,11.0,283.54
Golden_13-C26-N253,1,104,7.0,11.0,283.54
Golden_13-C26-N253,1,148,11.0,13.0,283.54
Golden_13-C26-N253,1,149,9.0,13.0,283.54
Golden_13-C26-N253,1,150,7.0,13.0,283.54
Golden_13-C26-N253,1,202,11.0,15.0,283.54
Golden_13-C26-N253,1,203,9.0,15.0,283.54
Golden_13-C26-N253,1,204,7.0,15.0,283.54
Golden_13-C26-N253,1,35,7.0,5.0,283.54
Golden_13-C26-N253,1,36,7.0,7.0,283.54
Golden_13-C26-N253,1,63,9.0,5.0,283.54
Golden_13-C26-N253,1,64,9.0,7.0,283.54
Golden_13-C26-N253,1,65,9.0,9.0,283.54
Golden_13-C26-N253,1,66,7.0,9.0,283.54
Golden_13-C26-N253,1,99,11.0,5.0,283.54
Golden_13-C26-N253,1,100,11.0,7.0,283.54
Golden_13-C26-N253,1,101,11.0,9.0,283.54
Golden_13-C26-N253,1,106,3.0,11.0,283.54
Golden_13-C26-N253,1,107,1.0,11.0,283.54
Golden_13-C26-N253,1,108,-1.0,11.0,283.54
Golden_13-C26-N253,1,151,5.0,13.0,283.54
