Instance,Available Vehicles,Number of Routes,Classic Cost,Adaptive Cost,Classic Time,Adaptive Time,Classic Rate,Adaptive Rate,Improvement %
Golden_18-C22-N301,4,3,646.34,608.38,14.11,18.32,49.32,40.05,6.24%
Golden_18-C38-N301,4,3,643.94,613.2,13.45,18.14,31.73,25.23,5.01%
Golden_18-C31-N301,4,3,634.16,605.28,13.93,20.97,30.12,21.39,4.77%
Golden_17-C19-N241,3,3,452.38,432.56,11.65,19.87,36.55,22.44,4.58%
Golden_15-C45-N397,5,4,926.13,887.26,32.26,37.61,11.06,10.52,4.38%
Golden_17-C27-N241,3,3,446.23,427.61,11.45,16.34,29.22,21.62,4.36%
Golden_13-C26-N253,4,3,565.95,542.34,10.97,19.22,21.05,13.24,4.35%
Golden_18-C26-N301,4,3,645.44,618.65,14.15,16.79,45.56,39.98,4.33%
Golden_14-C30-N321,4,3,742.16,711.59,15.35,22.99,24.02,17.38,4.30%
Golden_14-C36-N321,4,4,752.54,722.23,19.98,32.59,18.01,11.97,4.20%
Golden_17-C25-N241,3,3,447.52,429.75,12.6,17.64,28.79,21.57,4.13%
Golden_13-C37-N253,4,3,578.16,556,11.16,20.02,23.51,14.21,3.99%
Golden_16-C54-N481,5,4,1120.21,1078.03,32.38,44.25,13.62,10.92,3.91%
Golden_15-C29-N397,4,4,930.23,895.66,24.38,37.37,15.73,11.19,3.86%
Golden_15-C57-N397,5,4,893.76,861.08,24.18,38.16,17.25,11.78,3.80%
Golden_17-C21-N241,3,3,444.96,428.77,13.91,17.83,29.82,24.17,3.78%
Golden_14-C22-N321,4,4,724.59,698.69,19.49,30.78,17.21,11.74,3.71%
Golden_14-C25-N321,4,4,713.14,688.53,19.49,32.92,17.27,10.97,3.57%
Golden_17-C41-N241,4,3,433.68,419.44,11.73,18.66,21.18,14.08,3.39%
Golden_18-C61-N301,4,3,622.17,601.74,13.74,21.32,20.08,13.9,3.39%
Golden_15-C80-N397,5,4,899.98,872.98,24.55,39.96,12.28,8.22,3.09%
Golden_16-C41-N481,5,4,1102.11,1070.3,28.53,42.17,19.52,13.96,2.97%
Golden_15-C31-N397,4,4,889.95,864.99,24.99,40.45,20.36,13.19,2.89%
Golden_16-C35-N481,5,4,1116.68,1085.48,29.56,41.75,16.59,12.49,2.87%
Golden_18-C24-N301,4,4,635.42,617.72,21.61,27.93,32.65,25.89,2.87%
Golden_15-C67-N397,5,5,909.96,884.92,32.82,51.24,9.85,6.8,2.83%
Golden_16-C44-N481,5,5,1130.49,1100.35,36.31,51.29,12.95,9.76,2.74%
